SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;4;654.586000;landsat5_tm;0, 1, 2, 3;485.0, 560.0, 660.0, 830.0;-0.000841860741309, 0.00454136694853, 0.000950985465728, 1.000983248, -0.00737389152158;-1458.793196;0.000001
landsat8_oli;4;654.586000;landsat5_mss;0, 1, 2, 3;550.0, 650.0, 750.0, 950.0;-0.000230028069119, -0.0871666019461, 1.09801195549, -0.0297672214133, 0.00998062499426;-1369.034048;0.000001
landsat8_oli;4;654.586000;terra;2, 3, 0, 1, 4, 5;465.742398799, 553.736229817, 646.295673296, 856.47984028, 1242.16286011, 1629.40788053;0.000289339245552, 0.0291536428414, -0.0746928021549, 1.04426838538, 0.00286727324726, -0.00943521257134, 0.0101704383464;-1401.492455;0.000001
landsat8_oli;4;654.586000;vgt;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;-0.00127009447903, 0.00759147462544, 1.02564232411, -0.0391296604347, 0.00522011155945;-1217.056192;0.000004
landsat8_oli;4;654.586000;landsat8_tirs;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;-0.00127009447903, 0.00759147462544, 1.02564232411, -0.0391296604347, 0.00522011155945;-1217.056192;0.000004
landsat8_oli;4;654.586000;landsat4_tm;0, 1, 2, 3;485.0, 560.0, 660.0, 830.0;-0.000789662141954, 0.00703431053483, -0.00659544920757, 1.0060532223, -0.00702289030103;-1476.567024;0.000001
landsat8_oli;4;654.586000;landsat4_mss;0, 1, 2, 3;550.0, 650.0, 750.0, 950.0;-0.000701141573579, -0.0673592435952, 1.09165657514, -0.0514374006056, 0.0193820440479;-1336.399216;0.000002
landsat8_oli;4;654.586000;meris;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;412.433615778, 442.302283223, 489.626577523, 509.564329959, 559.440262161, 619.349162711, 664.322430724, 680.571670334, 708.080139841, 753.123045597, 760.007913967, 778.160657513, 864.627349057, 884.697163697, 899.753104609;0.000216807973675, -0.00422955666426, 0.0426098225988, -0.179165964295, 0.150763558644, -0.0180263492892, 0.132831359835, 1.19985046997, -0.355218532678, 0.0324466908366, -0.0116843457884, -0.0318517129697, 0.0619021051813, -0.0320428111402, -0.0530660466927, 0.0621733094463;-1759.549961;0.000000
landsat8_oli;4;654.586000;landsat7;0, 1, 2, 3, 4;485.0, 560.0, 660.0, 835.0, 1650.0;-0.00048475039414, -0.0230402751101, 0.0465864145252, 0.977145509682, -0.00239313843475, -0.00206964490451;-1471.804250;0.000001
landsat8_oli;4;654.586000;rapideye;0, 1, 2;475.0, 555.0, 657.5;-0.000281881179554, -0.0216510195231, 0.0324143200573, 0.985203070132;-1562.643672;0.000000
